tree_hash,commith_hash,changed,insert,delete
3dae117a08b708fec31bb8f4e419c30c61142929,ff9d38e38a273a3e4f107e2a736b2eda4dc7e5b2,   5 files changed, 52 insertions(+), 15 deletions(-) 
166a07063c240d566d3b8f48bf8c83d5b681f502,2623e3f2cbb8d65c54495abbfb50993dfd71b43b,   9 files changed, 108 insertions(+), 29 deletions(-) 
ee241d003208c0f56cfecf4469a2d88c503fd162,7b7ebd6f7b8efa0ee1276667c773f2ff5efd8ee3,   2 files changed, 16 insertions(+), 11 deletions(-) 
67a0432fc3ba493ff606047f2231db3a55f158c1,1f872a413e74dae2880c2cc3414880678b10e309,   4 files changed, 54 insertions(+), 8 deletions(-) 
ec06d653656a9d49ecb54e7ecff2a2f686e5dfc4,8147050d5e0c4387bae83e7123d5904027222e65,   2 files changed, 34 insertions(+), 20 deletions(-) 
02ad2d00e643522641ae091c6f2dce6e1fff8995,d844fbc584ff718cf507e11294f7f9e293c53bad,   1 file changed, 1 insertion(+), 1 deletion(-) 
b46c55f9db877458388d36cb4200432b2a72d3fe,e4eaf651a058ea2381c33bc0ab06bf5cc85cd4fe,   3 files changed, 3 insertions(+) 
ad34ffa1d5b91a61cce5a19d2bd7ae2bcb11ddeb,c393ebf138944cbbf1a8f0f2b60cb097eb55dae3, 
d03bf23108218b151dcc355cff0dc5b803cf4932,3c7c965db035cdba5e90c8d89c48a80f93df0d18,   1 file changed, 14 deletions(-) 
7a40ffbc37302626d3727cbde8b2c77da06a8115,3d221689369ec56a55c7d01ea60c7d8ffa6bcc7d,   3 files changed, 1 insertion(+), 1 deletion(-) 
51156b49633116cc5fe67ba9cb8312c83776b72c,00d6bf9c46f31fc186c6d41945e21c3e29411a2c, 
51156b49633116cc5fe67ba9cb8312c83776b72c,56b9470c75d3cb3c0d903e3c5bea402b048c54df,   1 file changed, 1 insertion(+), 1 deletion(-) 
d66687dc8ba3c9d0952981fb808e88e34711a41a,4e51f2a4ad58d3696c18086a4f0638ce95241426, 
d66687dc8ba3c9d0952981fb808e88e34711a41a,1b3077c84c73f414f7aa2a476a7f1a67286fa1f2,   1 file changed, 1 insertion(+), 1 deletion(-) 
7f59f1837e32ced721d1fda4724ece1f425915e6,e95dd962ecaefb88a9e5d6125bde6a7a30fdfde2, 
7f59f1837e32ced721d1fda4724ece1f425915e6,7325814a844b038ce74f6c8468f4d0196400dacc,   4 files changed, 4 insertions(+), 4 deletions(-) 
d85f9c9dc1119047b7bc093108e006be6445114d,fcc2879678f8d280f7575aa3c396bec0a0838e6d,   1 file changed, 1 insertion(+), 1 deletion(-) 
00e424eddd2af8c1e2967dc808f84eb99ca306df,66c836071f66788b87b1bca7c11a5dc457e4d2d7, 
481e433694dc665a399ea02eb2892bc415d1d0e6,5e44d2e59794c0ccc4364ba383946ae447428b40, 
a9adab7a9fe900677e12e309c57fea1ca40db95d,0103988c7a8d8c7560d0660eef94ee10422e3a65, 
a9adab7a9fe900677e12e309c57fea1ca40db95d,65e9af01e3beebd72565c02b4c15cc93e502f072,   1 file changed, 1 insertion(+), 1 deletion(-) 
14919ce15b6b125fb1fe40de7b8aca5a18e6424b,41f3af83ce1559f0c448919702633969d38132db, 
1ad198b04a3db6b20e6f02bb8961edadc77ddac8,9918ad61cdfbb15c38558495d624a775c42da2ec,   1 file changed, 1 insertion(+), 1 deletion(-) 
7e3e6f4b10b056f159253e0cf15d785a328d6f8d,046c5543f23f9e80254fe86aa504edac7f0a589e,   1 file changed, 1 insertion(+), 1 deletion(-) 
14919ce15b6b125fb1fe40de7b8aca5a18e6424b,f260ade639761ee4a193dc5b51b5de42656c1468,   1 file changed, 1 insertion(+), 1 deletion(-) 
f58232eb3fe46cc4a70ef693d6b38ec06c07241f,e86cb8d475c7ebfcd143d07d0223c58bb3c034d1, 
f58232eb3fe46cc4a70ef693d6b38ec06c07241f,da303bc0ad2d43dcca846e73aec8a878d0c2f7aa,   6 files changed, 28 insertions(+), 41 deletions(-) 
fa8edbbfeeadb9b9d3dbc69f810c388e81778e10,37c29db3c6cbcf9e0a959106780f8a3bc936d0fd,   3 files changed, 89 insertions(+), 25 deletions(-) 
da7709418c19bb962a8c6b1e66cc5a11874235a1,5d33d18fe661f7f40069e244bb25793226abe128,   4 files changed, 36 insertions(+), 26 deletions(-) 
db4143089a0b2aea281076025004ffa07c357c7a,8a72b242814747fa710ca2d0d4e229327005a416,   13 files changed, 328 insertions(+), 178 deletions(-) 
80ad95d1900a02e1ed3c85cbee07a1922e909f11,2d3b68b0d499af9094adb2c647d74cbb89304e46,   7 files changed, 232 insertions(+), 134 deletions(-) 
52f7f4aafcbc5ab8fca44faed086b01293db7b7b,f7f84e2f1d837a0924ee4b2fc1e02ff53dce494a, 
52f7f4aafcbc5ab8fca44faed086b01293db7b7b,99c683495bb1c14d8ddc6a731930be479cc4b8ac,   1 file changed, 15 deletions(-) 
