tree_hash,commith_hash,changed,insert,delete

a04db9e5af7194a87d75cff338fb6d086d05ad64,5eadaf69e394c030056e4190d86dae0262f8617c,   3 files changed, 9 insertions(+) 
cc3cb8f9b3f96dd064b0b2408ef4801efbaf7834,235d2df1de6aba77db3d128c0c637c9d2e9a9d12,   1 file changed, 21 insertions(+), 22 deletions(-) 
92e2491ea702fb8928f51bc38784a393af2daea5,df1da673f74f52c215a3e9eee2b99a28085e5baa,   1 file changed, 13 insertions(+), 2 deletions(-) 
c1516c5fd460d0b92478f51e72aa13e52bfa2c9c,52cde89586caa3fffc677e7665f4765f7e7b0a2d,   1 file changed, 14 insertions(+), 11 deletions(-) 
9d0fcd7391ce30417966fdf3b93b35cb644fa43b,85a104aa4e86ab82fd14493933f01f8822e83ed9,   1 file changed, 13 insertions(+), 10 deletions(-) 
4530bb5f955fff9b541efcf730ab37904b9f2954,427cfff79b6e41b26d3b34c3018432839a272d1e,   1 file changed, 2 insertions(+), 2 deletions(-) 
129e5ab171151bc89ec48949f1c3906c8a1d9703,798813e96b0a948b4713e92b67ecae8116f9d08f,   1 file changed, 1 insertion(+) 
66f0371abea88433d68eec899c06d6bd8317facb,ffcf93a6bf0c203c136e9ee9d65b81659ca9f7b6,   1 file changed, 94 insertions(+) 
2da550bde1c2ef9fe537433d37241af1e3c222e5,e860ecce82f1ee9cffb228d29d3ad61375b29aff,   1 file changed, 6 insertions(+) 
a5894d1f67c693637f43fac8f3bfad4cb4c6cfe7,f85d7016949b34119b5f4c53ddbfac4f199b4343,   1 file changed, 5 insertions(+), 8 deletions(-) 
2b2767a1f34270d65d74f95a9f2a8faf08bd7296,f1dd1d50e090b32a765295daea5f167f1077d706,   1 file changed, 7 insertions(+), 11 deletions(-) 
12599e7139d52e391e80871a18b27070952d2aaf,bbd403a7ab3810fe82ecd1d6ebca9fc34d68126a,   1 file changed, 5 insertions(+) 
d04138f8f25efa1e5cf7ad6bf9e47f5c15e8e9a0,077a890a76fff4f071776184aed881b5f314c98a,   1 file changed, 5 insertions(+) 
1238d8b9f276604027f1eff2b2e6a917f10bc962,9f1dcb0c0473641730b871dee984016ff19d2c53,   1 file changed, 4 insertions(+), 4 deletions(-) 
89701bd2d5e83239551cea4a9c79b4292e8b8bc8,41a241b3ef74dbbe3d82ab2ebbe682919e4a0b90,   5 files changed, 80 insertions(+), 7 deletions(-) 
efb199e40ccad7a66c090102cd66f1d6e5110b74,52d0ec7d1799cc67452c32052e96b8cdace0c7b7,   1 file changed, 2 insertions(+) 
6eb0fcf583842b4b9b12cb299dc9c154bf1d7c06,ecbe06b9fee57207d84be9ac39d1aa10b2d0fbd8,   3 files changed, 32 insertions(+) 
